"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPINDUS","MFG","THND_PER","Q","1991-Q1",1084.197,
"AUS","EMPINDUS","MFG","THND_PER","Q","1991-Q2",1051.856,
"AUS","EMPINDUS","MFG","THND_PER","Q","1991-Q3",1045.552,
"AUS","EMPINDUS","MFG","THND_PER","Q","1991-Q4",1048.395,
"AUS","EMPINDUS","MFG","THND_PER","Q","1992-Q1",1044.07,
"AUS","EMPINDUS","MFG","THND_PER","Q","1992-Q2",1048.108,
"AUS","EMPINDUS","MFG","THND_PER","Q","1992-Q3",1041.663,
"AUS","EMPINDUS","MFG","THND_PER","Q","1992-Q4",1056.117,
"AUS","EMPINDUS","MFG","THND_PER","Q","1993-Q1",1034.133,
"AUS","EMPINDUS","MFG","THND_PER","Q","1993-Q2",1035.106,
"AUS","EMPINDUS","MFG","THND_PER","Q","1993-Q3",1021.573,
"AUS","EMPINDUS","MFG","THND_PER","Q","1993-Q4",1041.223,
"AUS","EMPINDUS","MFG","THND_PER","Q","1994-Q1",1053.416,
"AUS","EMPINDUS","MFG","THND_PER","Q","1994-Q2",1072.781,
"AUS","EMPINDUS","MFG","THND_PER","Q","1994-Q3",1080.047,
"AUS","EMPINDUS","MFG","THND_PER","Q","1994-Q4",1060.762,
"AUS","EMPINDUS","MFG","THND_PER","Q","1995-Q1",1080.399,
"AUS","EMPINDUS","MFG","THND_PER","Q","1995-Q2",1070.607,
"AUS","EMPINDUS","MFG","THND_PER","Q","1995-Q3",1074.708,
"AUS","EMPINDUS","MFG","THND_PER","Q","1995-Q4",1059.868,
"AUS","EMPINDUS","MFG","THND_PER","Q","1996-Q1",1062.414,
"AUS","EMPINDUS","MFG","THND_PER","Q","1996-Q2",1064.436,
"AUS","EMPINDUS","MFG","THND_PER","Q","1996-Q3",1065.858,
"AUS","EMPINDUS","MFG","THND_PER","Q","1996-Q4",1076.666,
"AUS","EMPINDUS","MFG","THND_PER","Q","1997-Q1",1084.622,
"AUS","EMPINDUS","MFG","THND_PER","Q","1997-Q2",1083.723,
"AUS","EMPINDUS","MFG","THND_PER","Q","1997-Q3",1087.679,
"AUS","EMPINDUS","MFG","THND_PER","Q","1997-Q4",1081.7,
"AUS","EMPINDUS","MFG","THND_PER","Q","1998-Q1",1066.619,
"AUS","EMPINDUS","MFG","THND_PER","Q","1998-Q2",1040.387,
"AUS","EMPINDUS","MFG","THND_PER","Q","1998-Q3",1049.083,
"AUS","EMPINDUS","MFG","THND_PER","Q","1998-Q4",1031.511,
"AUS","EMPINDUS","MFG","THND_PER","Q","1999-Q1",1021.971,
"AUS","EMPINDUS","MFG","THND_PER","Q","1999-Q2",1021.492,
"AUS","EMPINDUS","MFG","THND_PER","Q","1999-Q3",1013.468,
"AUS","EMPINDUS","MFG","THND_PER","Q","1999-Q4",1025.038,
"AUS","EMPINDUS","MFG","THND_PER","Q","2000-Q1",1055.412,
"AUS","EMPINDUS","MFG","THND_PER","Q","2000-Q2",1104.212,
"AUS","EMPINDUS","MFG","THND_PER","Q","2000-Q3",1077.445,
"AUS","EMPINDUS","MFG","THND_PER","Q","2000-Q4",1047.694,
"AUS","EMPINDUS","MFG","THND_PER","Q","2001-Q1",1062.815,
